N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
103,BGF리테일,"184,000","3,000",-1.60%,"1,000","31,802","17,284",31.26,"66,163",21.54,19.61,
104,현대미포조선,"78,500",600,+0.77%,"5,000","31,355","39,942",11.63,"193,389",-19.63,-7.11,
105,한미사이언스,"45,650","1,150",-2.46%,500,"31,327","68,624",1.65,"72,054",72.92,6.37,
106,KCC,"338,000","4,500",-1.31%,"5,000","30,036","8,886",9.59,"25,747",-65.61,-0.92,
107,한솔케미칼,"262,000","2,500",-0.95%,"5,000","29,698","11,335",35.53,"128,815",20.06,23.88,
108,호텔신라,"73,800","1,700",-2.25%,"5,000","28,965","39,248",13.01,"413,383",109.01,4.51,
109,한화시스템,"15,300",150,-0.97%,"5,000","28,905","188,919",3.16,"271,671",24.29,6.04,
110,CJ대한통운,"125,500","7,000",-5.28%,"5,000","28,629","22,812",18.61,"76,300",52.29,1.59,
111,제일기획,"24,850",100,-0.40%,200,"28,588","115,041",31.48,"217,671",17.28,15.58,
112,포스코인터내셔널,"22,950",0,0.00%,"5,000","28,315","123,375",7.72,"316,543",6.61,10.86,
113,한전기술,"74,000",800,-1.07%,200,"28,283","38,220",1.98,"153,964",172.09,3.25,
114,현대해상,"30,850",200,-0.64%,500,"27,580","89,400",29.20,"313,311",6.38,8.82,
115,롯데쇼핑,"97,000","4,000",-3.96%,"5,000","27,440","28,289",11.27,"117,267",-9.39,-2.94,
116,GS리테일,"26,150",50,+0.19%,"1,000","27,384","104,718",6.74,"201,811",3.24,25.58,
117,에스원,"70,800",800,-1.12%,500,"26,903","37,999",53.08,"75,923",20.85,9.13,
118,동서,"26,450",250,-0.94%,500,"26,371","99,700",2.95,"53,013",23.14,8.05,
119,대한전선,"2,100",10,-0.47%,100,"26,134","1,244,473",1.55,"53,166,906",48.84,7.78,
120,한화에어로스페이스,"50,800",800,-1.55%,"5,000","25,720","50,630",21.71,"272,520",10.18,9.21,
121,OCI,"107,000","2,000",-1.83%,"5,000","25,519","23,849",15.46,"248,538",3.43,23.93,
122,하이트진로,"36,100",700,-1.90%,"5,000","25,318","70,134",9.61,"237,449",32.26,6.62,
123,대우건설,"6,010",160,-2.59%,"5,000","24,979","415,623",11.15,"1,468,347",5.15,16.47,
124,신세계,"250,500","5,500",-2.15%,"5,000","24,662","9,845",26.99,"74,321",8.04,8.54,
125,BNK금융지주,"7,540",180,-2.33%,"5,000","24,576","325,935",39.55,"1,065,128",3.11,8.76,
126,만도,"51,900","2,700",-4.95%,"1,000","24,371","46,957",19.35,"449,810",14.58,9.31,
127,후성,"25,600","1,650",+6.89%,500,"23,707","92,607",9.27,"18,056,559",104.92,9.61,
128,CJ,"81,000","2,100",-2.53%,"5,000","23,633","29,177",17.48,"69,411",10.51,5.66,
129,두산퓨얼셀,"35,500","1,450",-3.92%,100,"23,250","65,494",14.36,"568,369",288.62,1.69,
